,Weight,Length1,Length2,Length3,Height,Width,Species_Parkki,Species_Perch,Species_Pike,Species_Roach,Species_Smelt,Species_Whitefish
0,242,23,25,30,11,4,0,0,0,0,0,0
1,290,24,26,31,12,4,0,0,0,0,0,0
2,340,23,26,31,12,4,0,0,0,0,0,0
3,363,26,29,33,12,4,0,0,0,0,0,0
4,430,26,29,34,12,5,0,0,0,0,0,0
5,450,26,29,34,13,4,0,0,0,0,0,0
6,500,26,29,34,14,5,0,0,0,0,0,0
7,390,27,30,35,12,4,0,0,0,0,0,0
8,450,27,30,35,14,4,0,0,0,0,0,0
9,500,28,30,36,14,4,0,0,0,0,0,0
10,475,28,31,36,14,5,0,0,0,0,0,0
11,500,28,31,36,14,4,0,0,0,0,0,0
12,500,29,31,36,13,4,0,0,0,0,0,0
13,340,29,32,37,13,5,0,0,0,0,0,0
14,600,29,32,37,14,5,0,0,0,0,0,0
15,600,29,32,37,15,5,0,0,0,0,0,0
16,700,30,33,38,14,5,0,0,0,0,0,0
17,700,30,33,38,14,5,0,0,0,0,0,0
18,610,30,33,38,15,5,0,0,0,0,0,0
19,650,31,33,38,14,5,0,0,0,0,0,0
20,575,31,34,39,15,5,0,0,0,0,0,0
21,685,31,34,39,15,5,0,0,0,0,0,0
22,620,31,34,39,15,5,0,0,0,0,0,0
23,680,31,35,40,15,6,0,0,0,0,0,0
24,700,31,35,40,16,5,0,0,0,0,0,0
25,725,31,35,40,16,6,0,0,0,0,0,0
26,720,32,35,40,16,6,0,0,0,0,0,0
27,714,32,36,41,16,5,0,0,0,0,0,0
28,850,32,36,41,16,6,0,0,0,0,0,0
29,1000,33,37,42,18,6,0,0,0,0,0,0
30,920,35,38,44,18,6,0,0,0,0,0,0
31,955,35,38,44,18,6,0,0,0,0,0,0
32,925,36,39,45,18,6,0,0,0,0,0,0
33,975,37,41,45,18,6,0,0,0,0,0,0
34,950,38,41,46,17,6,0,0,0,0,0,0
35,40,12,14,16,4,2,0,0,0,1,0,0
36,69,16,18,20,5,2,0,0,0,1,0,0
37,78,17,18,21,5,2,0,0,0,1,0,0
38,87,18,19,22,5,3,0,0,0,1,0,0
39,120,18,20,22,6,3,0,0,0,1,0,0
40,0,19,20,22,6,3,0,0,0,1,0,0
41,110,19,20,23,6,3,0,0,0,1,0,0
42,120,19,21,23,6,3,0,0,0,1,0,0
43,150,20,22,24,5,3,0,0,0,1,0,0
44,145,20,22,24,6,3,0,0,0,1,0,0
45,160,20,22,25,7,3,0,0,0,1,0,0
46,140,21,22,25,6,3,0,0,0,1,0,0
47,160,21,22,25,6,3,0,0,0,1,0,0
48,169,22,24,27,7,3,0,0,0,1,0,0
49,161,22,23,26,6,3,0,0,0,1,0,0
50,200,22,23,26,7,4,0,0,0,1,0,0
51,180,23,25,27,7,3,0,0,0,1,0,0
52,290,24,26,29,8,4,0,0,0,1,0,0
53,272,25,27,30,8,4,0,0,0,1,0,0
54,390,29,31,35,9,5,0,0,0,1,0,0
55,270,23,26,28,8,4,0,0,0,0,0,1
56,270,24,26,29,8,4,0,0,0,0,0,1
57,306,25,28,30,8,4,0,0,0,0,0,1
58,540,28,31,34,10,6,0,0,0,0,0,1
59,800,33,36,39,11,6,0,0,0,0,0,1
60,1000,37,40,43,12,6,0,0,0,0,0,1
61,55,13,14,16,6,2,1,0,0,0,0,0
62,60,14,15,17,6,2,1,0,0,0,0,0
63,90,16,17,19,7,2,1,0,0,0,0,0
64,120,17,19,21,8,2,1,0,0,0,0,0
65,150,18,20,22,8,3,1,0,0,0,0,0
66,140,19,20,23,8,3,1,0,0,0,0,0
67,170,19,20,23,9,3,1,0,0,0,0,0
68,145,19,21,24,9,3,1,0,0,0,0,0
69,200,21,23,25,10,3,1,0,0,0,0,0
70,273,23,25,28,11,4,1,0,0,0,0,0
71,300,24,26,29,11,4,1,0,0,0,0,0
72,5,7,8,8,2,1,0,1,0,0,0,0
73,32,12,13,14,3,1,0,1,0,0,0,0
74,40,13,15,16,3,2,0,1,0,0,0,0
75,51,15,16,17,4,2,0,1,0,0,0,0
76,70,15,17,18,4,2,0,1,0,0,0,0
77,100,16,18,19,5,3,0,1,0,0,0,0
78,78,16,18,19,5,3,0,1,0,0,0,0
79,80,17,19,20,5,3,0,1,0,0,0,0
80,85,17,19,20,5,3,0,1,0,0,0,0
81,85,18,20,21,5,2,0,1,0,0,0,0
82,110,19,21,22,5,3,0,1,0,0,0,0
83,115,19,21,22,5,3,0,1,0,0,0,0
84,125,19,21,22,5,3,0,1,0,0,0,0
85,130,19,21,22,6,3,0,1,0,0,0,0
86,120,20,22,23,6,3,0,1,0,0,0,0
87,120,20,22,23,5,3,0,1,0,0,0,0
88,130,20,22,23,6,3,0,1,0,0,0,0
89,135,20,22,23,5,3,0,1,0,0,0,0
90,110,20,22,23,5,3,0,1,0,0,0,0
91,130,20,22,24,5,3,0,1,0,0,0,0
92,150,20,22,24,6,3,0,1,0,0,0,0
93,145,20,22,24,5,3,0,1,0,0,0,0
94,150,21,23,24,5,3,0,1,0,0,0,0
95,170,21,23,25,6,3,0,1,0,0,0,0
96,225,22,24,25,7,3,0,1,0,0,0,0
97,145,22,24,25,6,3,0,1,0,0,0,0
98,188,22,24,26,6,4,0,1,0,0,0,0
99,180,23,25,26,6,3,0,1,0,0,0,0
100,197,23,25,27,6,4,0,1,0,0,0,0
101,218,25,26,28,7,4,0,1,0,0,0,0
102,300,25,27,28,8,5,0,1,0,0,0,0
103,260,25,27,28,7,4,0,1,0,0,0,0
104,265,25,27,28,7,4,0,1,0,0,0,0
105,250,25,27,28,7,4,0,1,0,0,0,0
106,250,25,28,29,7,4,0,1,0,0,0,0
107,300,26,28,30,7,4,0,1,0,0,0,0
108,320,27,30,31,7,4,0,1,0,0,0,0
109,514,30,32,34,10,6,0,1,0,0,0,0
110,556,32,34,36,10,6,0,1,0,0,0,0
111,840,32,35,37,11,7,0,1,0,0,0,0
112,685,34,36,39,10,6,0,1,0,0,0,0
113,700,34,36,38,10,6,0,1,0,0,0,0
114,700,34,37,39,10,6,0,1,0,0,0,0
115,690,34,37,39,10,6,0,1,0,0,0,0
116,900,36,39,41,11,7,0,1,0,0,0,0
117,650,36,39,41,11,6,0,1,0,0,0,0
118,820,36,39,41,12,7,0,1,0,0,0,0
119,850,36,40,42,11,7,0,1,0,0,0,0
120,900,37,40,42,11,7,0,1,0,0,0,0
121,1015,37,40,42,12,7,0,1,0,0,0,0
122,820,37,40,42,11,6,0,1,0,0,0,0
123,1100,39,42,44,12,6,0,1,0,0,0,0
124,1000,39,43,45,11,7,0,1,0,0,0,0
125,1100,40,43,45,12,7,0,1,0,0,0,0
126,1000,40,43,46,12,8,0,1,0,0,0,0
127,1000,41,44,46,12,7,0,1,0,0,0,0
128,200,30,32,34,5,3,0,0,1,0,0,0
129,300,31,34,37,5,4,0,0,1,0,0,0
130,300,32,35,38,5,4,0,0,1,0,0,0
131,300,34,37,39,6,4,0,0,1,0,0,0
132,430,35,38,40,7,4,0,0,1,0,0,0
133,345,36,38,41,6,3,0,0,1,0,0,0
134,456,40,42,45,7,4,0,0,1,0,0,0
135,510,40,42,45,6,4,0,0,1,0,0,0
136,540,40,43,45,7,5,0,0,1,0,0,0
137,500,42,45,48,6,4,0,0,1,0,0,0
138,567,43,46,48,7,4,0,0,1,0,0,0
139,770,44,48,51,7,5,0,0,1,0,0,0
140,950,48,51,55,8,6,0,0,1,0,0,0
141,1250,52,56,59,10,6,0,0,1,0,0,0
142,1600,56,60,64,9,6,0,0,1,0,0,0
143,1550,56,60,64,9,6,0,0,1,0,0,0
144,1650,59,63,68,10,7,0,0,1,0,0,0
145,6,9,9,10,1,1,0,0,0,0,1,0
146,7,10,10,11,1,1,0,0,0,0,1,0
147,7,10,10,11,1,1,0,0,0,0,1,0
148,9,10,11,12,2,1,0,0,0,0,1,0
149,9,10,11,12,2,1,0,0,0,0,1,0
150,8,10,11,12,1,1,0,0,0,0,1,0
151,10,11,11,13,2,1,0,0,0,0,1,0
152,9,11,11,13,2,1,0,0,0,0,1,0
153,9,11,12,13,2,1,0,0,0,0,1,0
154,12,11,12,13,2,1,0,0,0,0,1,0
155,13,11,12,13,2,1,0,0,0,0,1,0
156,12,12,13,13,2,1,0,0,0,0,1,0
157,19,13,14,15,2,2,0,0,0,0,1,0
158,19,13,15,16,2,1,0,0,0,0,1,0
